year,global,london,sliding_global,sliding_london
1750,8.72,10.25,,
1751,7.98,9.99,,
1752,5.78,6.54,,
1753,8.39,9.42,,
1754,8.47,9.2,,
1755,8.36,8.95,,
1756,8.85,9.42,,
1757,9.02,9.34,,
1758,6.74,8.85,,
1759,7.99,9.8,8.03,9.176
1760,7.19,9.26,7.953636364,9.183636364
1761,8.77,9.69,7.958181818,9.132727273
1762,8.61,8.99,8.015454545,9.041818182
1763,7.5,8.75,8.171818182,9.242727273
1764,8.4,9.14,8.172727273,9.217272727
1765,8.25,8.95,8.152727273,9.194545455
1766,8.41,9.07,8.157272727,9.205454545
1767,8.22,8.98,8.1,9.165454545
1768,6.78,9.12,7.896363636,9.145454545
1769,7.69,9.04,7.982727273,9.162727273
1770,7.69,9.03,7.955454545,9.092727273
1771,7.85,8.78,8.015454545,9.049090909
1772,8.19,9.36,7.962727273,9.019090909
1773,8.22,9.33,7.927272727,9.05
1774,8.77,9.1,8.042727273,9.081818182
1775,9.18,10.1,8.113636364,9.169090909
1776,8.3,9.21,8.118181818,9.192727273
1777,8.26,9.25,8.104545455,9.209090909
1778,8.54,9.8,8.133636364,9.283636364
1779,8.98,10.76,8.333636364,9.432727273
1780,9.43,9.67,8.491818182,9.49
1781,8.1,10.41,8.529090909,9.615454545
1782,7.9,8.44,8.533636364,9.584545455
1783,7.68,9.97,8.487272727,9.64
1784,7.86,8.29,8.454545455,9.545454545
1785,7.36,8.54,8.326363636,9.494545455
1786,8.26,8.35,8.242727273,9.335454545
1787,8.03,9.53,8.218181818,9.364545455
1788,8.45,9.39,8.235454545,9.377272727
1789,8.33,9.12,8.216363636,9.315454545
1790,7.98,9.67,8.125454545,9.216363636
1791,8.23,9.59,8.016363636,9.209090909
1792,8.09,9.56,8.015454545,9.131818182
1793,8.23,9.59,8.045454545,9.236363636
1794,8.53,10,8.122727273,9.239090909
1795,8.35,9.19,8.167272727,9.320909091
1796,8.27,9.5,8.25,9.408181818
1797,8.51,9.62,8.272727273,9.523636364
1798,8.67,9.83,8.330909091,9.550909091
1799,8.51,7.94,8.336363636,9.419090909
1800,8.48,9.32,8.35,9.437272727
1801,8.59,9.68,8.405454545,9.438181818
1802,8.58,9.31,8.437272727,9.412727273
1803,8.5,8.79,8.474545455,9.342727273
1804,8.84,9.37,8.53,9.322727273
1805,8.56,8.56,8.532727273,9.191818182
1806,8.43,9.87,8.54,9.253636364
1807,8.28,9.03,8.540909091,9.210909091
1808,7.63,8.91,8.460909091,9.146363636
1809,7.08,8.99,8.316363636,9.07
1810,6.92,8.97,8.171818182,9.163636364
1811,6.86,10.1,8.024545455,9.234545455
1812,7.05,8.58,7.884545455,9.134545455
1813,7.74,9.13,7.808181818,9.118181818
1814,7.59,7.93,7.725454545,9.04
1815,7.24,8.99,7.58,9.005454545
1816,6.94,7.98,7.432727273,8.952727273
1817,6.98,8.95,7.300909091,8.869090909
1818,7.83,9.88,7.26,8.946363636
1819,7.37,9.58,7.236363636,9.007272727
1820,7.62,8.61,7.285454545,8.972727273
1821,8.09,9.63,7.391818182,9.032727273
1822,8.19,10.36,7.512727273,9.056363636
1823,7.72,8.8,7.573636364,9.076363636
1824,8.55,9.65,7.647272727,9.123636364
1825,8.39,9.98,7.72,9.31
1826,8.36,10.12,7.821818182,9.412727273
1827,8.81,9.37,7.991818182,9.539090909
1828,8.17,10.1,8.1,9.643636364
1829,7.94,7.95,8.11,9.468181818
1830,8.52,8.78,8.214545455,9.395454545
1831,7.64,10.01,8.216363636,9.522727273
1832,7.45,9.24,8.158181818,9.487272727
1833,8.01,9.4,8.141818182,9.4
1834,8.15,10.59,8.180909091,9.562727273
1835,7.39,9.48,8.075454545,9.547272727
1836,7.7,9.04,8.012727273,9.461818182
1837,7.38,8.85,7.923636364,9.346363636
1838,7.51,8.05,7.805454545,9.226363636
1839,7.63,8.89,7.756363636,9.116363636
1840,7.8,8.68,7.743636364,9.182727273
1841,7.69,9.12,7.668181818,9.213636364
1842,8.02,9.43,7.702727273,9.160909091
1843,8.17,9.4,7.768181818,9.175454545
1844,7.65,8.85,7.735454545,9.125454545
1845,7.85,8.46,7.708181818,8.931818182
1846,8.55,10.48,7.813636364,9.022727273
1847,8.09,9.24,7.849090909,9.040909091
1848,7.98,9.52,7.903636364,9.101818182
1849,7.98,9.42,7.946363636,9.226363636
1850,7.9,9.06,7.970909091,9.241818182
1851,8.18,9.17,8.005454545,9.286363636
1852,8.1,9.96,8.042727273,9.362727273
1853,8.04,8.44,8.044545455,9.272727273
1854,8.21,9.3,8.048181818,9.263636364
1855,8.11,8.03,8.09,9.189090909
1856,8,9.17,8.103636364,9.253636364
1857,7.76,10.21,8.031818182,9.229090909
1858,8.1,9.2,8.032727273,9.225454545
1859,8.25,9.97,8.057272727,9.266363636
1860,7.96,8.17,8.055454545,9.152727273
1861,7.85,9.42,8.050909091,9.185454545
1862,7.56,9.56,7.994545455,9.220909091
1863,8.11,9.9,7.995454545,9.215454545
1864,7.98,8.74,7.99,9.242727273
1865,8.18,9.82,7.987272727,9.29
1866,8.29,9.69,8.003636364,9.440909091
1867,8.44,9.06,8.043636364,9.430909091
1868,8.25,10.5,8.088181818,9.457272727
1869,8.43,9.46,8.118181818,9.480909091
1870,8.2,8.94,8.113636364,9.387272727
1871,8.12,8.97,8.128181818,9.46
1872,8.19,10.07,8.159090909,9.519090909
1873,8.35,9.26,8.230909091,9.491818182
1874,8.43,9.37,8.26,9.443636364
1875,7.86,9.43,8.249090909,9.506363636
1876,8.08,9.75,8.24,9.5
1877,8.54,9.43,8.262727273,9.476363636
1878,8.83,9.47,8.298181818,9.513636364
1879,8.17,7.62,8.290909091,9.251818182
1880,8.12,9.35,8.262727273,9.241818182
1881,8.27,8.71,8.269090909,9.220909091
1882,8.13,9.43,8.27,9.262727273
1883,7.98,9.21,8.250909091,9.184545455
1884,7.77,9.86,8.198181818,9.239090909
1885,7.92,8.68,8.151818182,9.176363636
1886,7.95,8.8,8.16,9.119090909
1887,7.91,8.39,8.144545455,8.995454545
1888,8.09,8.31,8.103636364,8.893636364
1889,8.32,8.91,8.057272727,8.842727273
1890,7.97,8.86,8.039090909,8.955454545
1891,8.02,8.65,8.03,8.891818182
1892,8.07,8.35,8.011818182,8.859090909
1893,8.06,10.05,8.005454545,8.915454545
1894,8.16,9.42,8.021818182,8.934545455
1895,8.15,8.91,8.056363636,8.848181818
1896,8.21,9.41,8.082727273,8.914545455
1897,8.29,9.5,8.113636364,8.978181818
1898,8.18,10.08,8.138181818,9.131818182
1899,8.4,9.85,8.166363636,9.271818182
1900,8.5,9.73,8.182727273,9.346363636
1901,8.54,9.2,8.234545455,9.377272727
1902,8.3,8.95,8.26,9.404545455
1903,8.22,9.45,8.273636364,9.504545455
1904,8.09,9.18,8.276363636,9.425454545
1905,8.23,9.25,8.282727273,9.41
1906,8.38,9.62,8.303636364,9.474545455
1907,7.95,9.03,8.28,9.44
1908,8.19,9.31,8.270909091,9.422727273
1909,8.18,8.7,8.270909091,9.297272727
1910,8.22,9.39,8.254545455,9.255454545
1911,8.18,10.22,8.225454545,9.3
1912,8.17,9.57,8.191818182,9.333636364
1913,8.3,9.89,8.191818182,9.419090909
1914,8.59,9.98,8.225454545,9.467272727
1915,8.59,9.07,8.270909091,9.457272727
1916,8.23,9.28,8.270909091,9.46
1917,8.02,8.65,8.238181818,9.371818182
1918,8.13,9.6,8.254545455,9.423636364
1919,8.38,8.48,8.271818182,9.348181818
1920,8.36,9.67,8.288181818,9.436363636
1921,8.57,10.6,8.32,9.546363636
1922,8.41,8.81,8.340909091,9.418181818
1923,8.42,9.17,8.363636364,9.381818182
1924,8.51,9.34,8.382727273,9.331818182
1925,8.53,9.31,8.377272727,9.270909091
1926,8.73,9.83,8.39,9.34
1927,8.52,9.25,8.416363636,9.337272727
1928,8.63,9.69,8.471818182,9.431818182
1929,8.24,9.09,8.481818182,9.385454545
1930,8.63,9.7,8.504545455,9.496363636
1931,8.72,9.12,8.537272727,9.446363636
1932,8.71,9.57,8.55,9.352727273
1933,8.34,9.96,8.543636364,9.457272727
1934,8.63,10.11,8.562727273,9.542727273
1935,8.52,9.9,8.563636364,9.593636364
1936,8.55,9.43,8.565454545,9.604545455
1937,8.7,9.69,8.562727273,9.591818182
1938,8.86,10.18,8.593636364,9.676363636
1939,8.76,9.77,8.605454545,9.683636364
1940,8.76,9.06,8.652727273,9.680909091
1941,8.77,9.09,8.665454545,9.625454545
1942,8.73,9.1,8.666363636,9.623636364
1943,8.76,10.19,8.670909091,9.68
1944,8.85,9.62,8.717272727,9.649090909
1945,8.58,10.39,8.712727273,9.674545455
1946,8.68,9.58,8.727272727,9.645454545
1947,8.8,9.75,8.75,9.674545455
1948,8.75,10.16,8.754545455,9.717272727
1949,8.59,10.63,8.73,9.758181818
1950,8.37,9.75,8.694545455,9.756363636
1951,8.63,9.52,8.682727273,9.798181818
1952,8.64,9.35,8.670909091,9.821818182
1953,8.87,9.95,8.683636364,9.899090909
1954,8.56,9.35,8.665454545,9.822727273
1955,8.63,9.39,8.645454545,9.801818182
1956,8.28,8.87,8.618181818,9.663636364
1957,8.73,10.26,8.622727273,9.725454545
1958,8.77,9.66,8.62,9.717272727
1959,8.73,10.63,8.618181818,9.76
1960,8.58,9.88,8.617272727,9.691818182
1961,8.8,10.2,8.656363636,9.732727273
1962,8.75,8.65,8.667272727,9.653636364
1963,8.86,8.48,8.687272727,9.574545455
1964,8.41,9.53,8.645454545,9.536363636
1965,8.53,9.03,8.642727273,9.507272727
1966,8.6,9.59,8.64,9.525454545
1967,8.7,9.81,8.678181818,9.610909091
1968,8.52,9.48,8.659090909,9.54
1969,8.6,9.47,8.643636364,9.522727273
1970,8.7,9.69,8.640909091,9.437272727
1971,8.6,9.89,8.642727273,9.438181818
1972,8.5,9.41,8.615454545,9.366363636
1973,8.95,9.75,8.633636364,9.466363636
1974,8.47,9.7,8.598181818,9.577272727
1975,8.74,9.99,8.628181818,9.619090909
1976,8.35,10.28,8.611818182,9.732727273
1977,8.85,9.69,8.634545455,9.741818182
1978,8.69,9.41,8.633636364,9.705454545
1979,8.73,9.06,8.652727273,9.667272727
1980,8.98,9.54,8.687272727,9.673636364
1981,9.17,9.38,8.73,9.645454545
1982,8.64,10.07,8.733636364,9.661818182
1983,9.03,10.12,8.781818182,9.726363636
1984,8.69,9.75,8.758181818,9.726363636
